GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,org.apache.jcs.auxiliary.disk.jdbc.mysql,MySQLTableOptimizer,430,0,30,0,93,0,23,0,8,0
JaCoCo Coverage Report,org.apache.jcs.auxiliary.disk.jdbc.mysql,MySQLDiskCacheFactory,22,0,0,0,7,0,4,0,4,0
JaCoCo Coverage Report,org.apache.jcs.auxiliary.disk.jdbc.mysql,MySQLDiskCacheManager.OptimizerTask,39,0,4,0,11,0,4,0,2,0
JaCoCo Coverage Report,org.apache.jcs.auxiliary.disk.jdbc.mysql,MySQLDiskCacheManager,228,0,26,0,45,0,21,0,8,0
JaCoCo Coverage Report,org.apache.jcs.auxiliary.disk.jdbc.mysql,MySQLDiskCache,75,0,16,0,19,0,13,0,5,0
JaCoCo Coverage Report,org.apache.jcs.auxiliary.disk.jdbc.mysql,MySQLDiskCacheAttributes,67,0,0,0,15,0,6,0,6,0
JaCoCo Coverage Report,org.apache.jcs.engine,PooledCacheEventQueue,537,0,54,0,119,0,49,0,22,0
JaCoCo Coverage Report,org.apache.jcs.engine,CacheElement,61,29,1,1,12,11,6,5,5,5
JaCoCo Coverage Report,org.apache.jcs.engine,ZombieCacheService,60,0,6,0,14,0,13,0,10,0
JaCoCo Coverage Report,org.apache.jcs.engine,CacheEventQueue.RemoveEvent,30,0,0,0,6,0,3,0,3,0
JaCoCo Coverage Report,org.apache.jcs.engine,CacheEventQueue,623,0,58,0,142,0,52,0,23,0
JaCoCo Coverage Report,org.apache.jcs.engine,CacheEventQueue.RemoveAllEvent,18,0,0,0,4,0,3,0,3,0
JaCoCo Coverage Report,org.apache.jcs.engine,PooledCacheEventQueue.DisposeEvent,18,0,0,0,4,0,3,0,3,0
JaCoCo Coverage Report,org.apache.jcs.engine,CompositeCacheAttributes,84,120,6,0,34,34,19,10,16,10
JaCoCo Coverage Report,org.apache.jcs.engine,ElementAttributes,156,224,5,1,41,61,12,20,9,20
JaCoCo Coverage Report,org.apache.jcs.engine,CacheAdaptor,58,0,2,0,19,0,9,0,8,0
JaCoCo Coverage Report,org.apache.jcs.engine,CacheEventQueue.DisposeEvent,18,0,0,0,4,0,3,0,3,0
JaCoCo Coverage Report,org.apache.jcs.engine,CacheGroup,10,0,0,0,5,0,3,0,3,0
JaCoCo Coverage Report,org.apache.jcs.engine,PooledCacheEventQueue.PutEvent,34,0,0,0,6,0,3,0,3,0
JaCoCo Coverage Report,org.apache.jcs.engine,CacheWatchRepairable,240,0,20,0,56,0,17,0,7,0
JaCoCo Coverage Report,org.apache.jcs.engine,CacheElementSerialized,96,0,0,0,20,0,8,0,8,0
JaCoCo Coverage Report,org.apache.jcs.engine,CacheEventQueue.Node,9,0,0,0,3,0,1,0,1,0
JaCoCo Coverage Report,org.apache.jcs.engine,PooledCacheEventQueue.AbstractCacheEvent,105,0,10,0,25,0,7,0,2,0
JaCoCo Coverage Report,org.apache.jcs.engine,PooledCacheEventQueue.RemoveAllEvent,18,0,0,0,4,0,3,0,3,0
JaCoCo Coverage Report,org.apache.jcs.engine,CacheUtils,48,0,0,0,14,0,3,0,3,0
JaCoCo Coverage Report,org.apache.jcs.engine,CacheListeners,18,0,2,0,6,0,2,0,1,0
JaCoCo Coverage Report,org.apache.jcs.engine,ZombieCacheWatch,7,0,0,0,5,0,5,0,5,0
JaCoCo Coverage Report,org.apache.jcs.engine,CacheInfo,9,0,0,0,2,0,1,0,1,0
JaCoCo Coverage Report,org.apache.jcs.engine,CacheEventQueue.AbstractCacheEvent,105,0,10,0,25,0,7,0,2,0
JaCoCo Coverage Report,org.apache.jcs.engine,PooledCacheEventQueue.RemoveEvent,30,0,0,0,6,0,3,0,3,0
JaCoCo Coverage Report,org.apache.jcs.engine,CacheEventQueueFactory,64,0,6,0,8,0,7,0,4,0
JaCoCo Coverage Report,org.apache.jcs.engine,CacheEventQueue.PutEvent,34,0,0,0,6,0,3,0,3,0
JaCoCo Coverage Report,org.apache.jcs.engine,CacheEventQueue.QProcessor,121,0,18,0,29,0,11,0,2,0
JaCoCo Coverage Report,org.apache.jcs.utils.struct,SingleLinkedList,144,0,6,0,33,0,9,0,6,0
JaCoCo Coverage Report,org.apache.jcs.utils.struct,BoundedQueue,52,0,6,0,14,0,8,0,5,0
JaCoCo Coverage Report,org.apache.jcs.utils.struct,LRUMap,1119,0,96,0,221,0,74,0,26,0
JaCoCo Coverage Report,org.apache.jcs.utils.struct,SortedPreferentialArray,924,0,120,0,199,0,73,0,13,0
JaCoCo Coverage Report,org.apache.jcs.utils.struct,LRUElementDescriptor,14,0,0,0,6,0,3,0,3,0
JaCoCo Coverage Report,org.apache.jcs.utils.struct,LRUMapEntry,23,0,0,0,9,0,4,0,4,0
JaCoCo Coverage Report,org.apache.jcs.utils.struct,SingleLinkedList.Node,6,0,0,0,2,0,1,0,1,0
JaCoCo Coverage Report,org.apache.jcs.utils.struct,DoubleLinkedListNode,3,6,0,0,1,3,1,1,1,1
JaCoCo Coverage Report,org.apache.jcs.utils.struct,DoubleLinkedList,80,199,15,21,21,59,14,16,4,8
JaCoCo Coverage Report,org.apache.jcs.auxiliary.disk.jdbc,TableState,58,0,0,0,15,0,6,0,6,0
JaCoCo Coverage Report,org.apache.jcs.auxiliary.disk.jdbc,JDBCDiskCacheFactory,22,0,0,0,7,0,4,0,4,0
JaCoCo Coverage Report,org.apache.jcs.auxiliary.disk.jdbc,JDBCDiskCacheManagerAbstractTemplate,220,0,24,0,51,0,19,0,7,0
JaCoCo Coverage Report,org.apache.jcs.auxiliary.disk.jdbc,JDBCDiskCache,1289,0,84,0,347,0,68,0,26,0
JaCoCo Coverage Report,org.apache.jcs.auxiliary.disk.jdbc,JDBCDiskCacheAttributes,242,0,0,0,50,0,22,0,22,0
JaCoCo Coverage Report,org.apache.jcs.auxiliary.disk.jdbc,JDBCDiskCacheManagerAbstractTemplate.MyThreadFactory,19,0,0,0,5,0,2,0,2,0
JaCoCo Coverage Report,org.apache.jcs.auxiliary.disk.jdbc,JDBCDiskCacheManager,80,0,8,0,18,0,10,0,6,0
JaCoCo Coverage Report,org.apache.jcs.auxiliary.disk.jdbc,ShrinkerThread,151,0,14,0,32,0,13,0,6,0
JaCoCo Coverage Report,org.apache.jcs.auxiliary.disk.jdbc,JDBCDiskCachePoolAccess,210,0,16,0,61,0,19,0,11,0
JaCoCo Coverage Report,org.apache.jcs,JCS,12,28,1,3,4,12,2,6,1,5
JaCoCo Coverage Report,org.apache.jcs.utils.serialization,StandardSerializer,48,0,0,0,16,0,3,0,3,0
JaCoCo Coverage Report,org.apache.jcs.utils.serialization,SerializationConversionUtil,111,0,12,0,35,0,10,0,4,0
JaCoCo Coverage Report,org.apache.jcs.engine.memory.lru,LRUMemoryCache.IteratorWrapper,39,0,0,0,9,0,6,0,6,0
JaCoCo Coverage Report,org.apache.jcs.engine.memory.lru,LRUMemoryCache.MapEntryWrapper,33,0,0,0,8,0,6,0,6,0
JaCoCo Coverage Report,org.apache.jcs.engine.memory.lru,LRUMemoryCache,647,563,67,35,113,118,51,20,9,11
JaCoCo Coverage Report,org.apache.jcs.auxiliary.disk,AbstractDiskCache.new Runnable() {...},46,0,4,0,13,0,4,0,2,0
JaCoCo Coverage Report,org.apache.jcs.auxiliary.disk,AbstractDiskCacheAttributes,95,0,0,0,25,0,11,0,11,0
JaCoCo Coverage Report,org.apache.jcs.auxiliary.disk,AbstractDiskCache,470,0,28,0,119,0,27,0,13,0
JaCoCo Coverage Report,org.apache.jcs.auxiliary.disk,AbstractDiskCache.MyCacheListener,154,0,16,0,42,0,15,0,7,0
JaCoCo Coverage Report,org.apache.jcs.auxiliary.disk,PurgatoryElement,40,0,0,0,14,0,9,0,9,0
